time,open,close,high,low,volume
1/3/2021 8:00,0.0298,0.033100002,0.037980001,0.029505,107299.2344
1/4/2021 8:00,0.033100002,0.042819999,0.05153,0.025745001,620560.375
1/11/2021 8:00,0.042819999,0.040119998,0.045444999,0.0305,747788
1/18/2021 8:00,0.040119998,0.03909,0.049260002,0.030835001,1345104.625
1/25/2021 8:00,0.03909,0.033615001,0.040674999,0.030610001,739369.25
2/1/2021 8:00,0.033615001,0.037909999,0.045880001,0.030165,1848932.75
2/8/2021 8:00,0.037909999,0.062144998,0.078445002,0.036784999,3415314
2/15/2021 8:00,0.062144998,0.055264998,0.067665003,0.046829998,2514597.75
2/22/2021 8:00,0.055264998,0.05288,0.058940001,0.034334999,2694124.75
3/1/2021 8:00,0.05288,0.073940001,0.075125001,0.045740001,1999420.125
3/8/2021 8:00,0.073940001,0.068000004,0.083614998,0.054485001,2138738.5
3/15/2021 8:00,0.068000004,0.09482,0.099739999,0.065435,2943835.75
3/22/2021 8:00,0.09482,0.08354,0.100000001,0.066694997,2218967
3/29/2021 8:00,0.08354,0.088270001,0.097390004,0.078670003,2667433
4/5/2021 8:00,0.088270001,0.086199999,0.093869999,0.073700003,2463593.75
4/12/2021 8:00,0.086199999,0.094674997,0.119000003,0.071905002,12444532
4/19/2021 8:00,0.094674997,0.067644998,0.104405001,0.063225001,11376496
4/26/2021 8:00,0.067644998,0.087004997,0.094965003,0.066500001,6734115
5/3/2021 8:00,0.087004997,0.089994997,0.093000002,0.076540001,12458493
5/10/2021 8:00,0.089994997,0.070289999,0.090709999,0.062590003,36702704
5/17/2021 8:00,0.070289999,0.02967,0.070289999,0.02265,27631992
5/24/2021 8:00,0.02967,0.03311,0.043265,0.029035,8927442
5/31/2021 8:00,0.03311,0.037385002,0.042964999,0.031635001,3600843.25
6/7/2021 8:00,0.037385002,0.031020001,0.038534999,0.026205,9180997
6/14/2021 8:00,0.031020001,0.029165,0.03331,0.026005,4656236.5
6/21/2021 8:00,0.029165,0.02232,0.0296,0.018545,11766537
6/28/2021 8:00,0.02232,0.025365001,0.026319999,0.02173,4635518.5
7/5/2021 8:00,0.025365001,0.023870001,0.029855,0.022265,3480235.75
7/12/2021 8:00,0.023870001,0.019704999,0.024555,0.019065,2543420
7/19/2021 8:00,0.019704999,0.027135,0.027659999,0.016504999,4181490
7/26/2021 8:00,0.027135,0.030920001,0.039999999,0.02485,5462875.5
8/2/2021 8:00,0.030920001,0.036499999,0.042119998,0.03015,5042495.5
8/9/2021 8:00,0.036499999,0.042045001,0.047485001,0.032855,7564140.5
8/16/2021 8:00,0.042045001,0.051254999,0.05443,0.038144998,12268076
8/23/2021 8:00,0.051254999,0.049454998,0.060924999,0.047290001,17275014
8/30/2021 8:00,0.049454998,0.051235002,0.05232,0.044530001,8314708
9/6/2021 8:00,0.051235002,0.037755001,0.052705001,0.033,12950986
9/13/2021 8:00,0.037755001,0.037025001,0.045770001,0.032889999,6117485.5
9/20/2021 8:00,0.037025001,0.030215001,0.037354998,0.02691,13143514
9/27/2021 8:00,0.030215001,0.036825001,0.037985001,0.027164999,5977492
10/4/2021 8:00,0.036825001,0.035684999,0.041000001,0.033604998,5921458.5
10/11/2021 8:00,0.035684999,0.035179999,0.038589999,0.031709999,4966664
10/18/2021 8:00,0.035179999,0.039250001,0.0429,0.030449999,5713495.5
10/25/2021 8:00,0.039250001,0.040114999,0.046,0.031330001,8628656
11/1/2021 8:00,0.040114999,0.04442,0.050000001,0.037135001,7678333
11/8/2021 8:00,0.04442,0.042775001,0.048719998,0.038740002,9353249
11/15/2021 8:00,0.042775001,0.036905002,0.044815,0.032115001,8529450
11/22/2021 8:00,0.036905002,0.043299999,0.047169998,0.032885,12508410
11/29/2021 8:00,0.043299999,0.034095,0.058274999,0.02801,39858984
12/6/2021 8:00,0.034095,0.034400001,0.040569998,0.029589999,15098599
12/13/2021 8:00,0.034400001,0.02971,0.034965001,0.028205,14182324
12/20/2021 8:00,0.02971,0.033100002,0.034779999,0.02736,9061452
12/27/2021 8:00,0.033100002,0.030920001,0.035514999,0.028185001,5517441.5
1/3/2022 8:00,0.030920001,0.025450001,0.032864999,0.02373,6064999.5
1/10/2022 8:00,0.025450001,0.026705001,0.028519999,0.023015,6592052
1/17/2022 8:00,0.026705001,0.018829999,0.02685,0.016825,14628783
1/24/2022 8:00,0.018829999,0.017755,0.019435,0.016410001,94987728
1/31/2022 8:00,0.017755,0.020075001,0.020804999,0.016735001,14832386
2/7/2022 8:00,0.020075001,0.017574999,0.022569999,0.017379999,9307861
2/14/2022 8:00,0.017574999,0.014545,0.019440001,0.014285,3043428.5
2/21/2022 8:00,0.014545,0.01247,0.01537,0.011025,6792467
2/28/2022 8:00,0.01247,0.011545,0.01528,0.011495,3125798.75
3/7/2022 8:00,0.011545,0.01169,0.0132,0.011125,3997050.5
3/14/2022 8:00,0.01169,0.013165,0.01462,0.011565,7577529
3/21/2022 8:00,0.013165,0.016775001,0.018370001,0.01283,8144066.5
3/28/2022 8:00,0.016775001,0.019804999,0.022700001,0.015445,14225612
4/4/2022 8:00,0.019804999,0.014155,0.019895,0.01389,6405327.5
4/11/2022 8:00,0.014155,0.01313,0.01571,0.012085,8600970
4/18/2022 8:00,0.01313,0.01273,0.0149,0.012325,4250617
4/25/2022 8:00,0.01273,0.009145,0.013,0.00802,5312487.5
5/2/2022 8:00,0.009145,0.007915,0.01067,0.007835,5317817
5/9/2022 8:00,0.007915,0.004785,0.008225,0.00316,6035484.5
5/16/2022 8:00,0.004785,0.005065,0.00515,0.004035,3280771.5
5/23/2022 8:00,0.005065,0.007045,0.008005,0.00465,15902719
5/30/2022 8:00,0.007045,0.006825,0.00846,0.00591,12500073
6/6/2022 8:00,0.006825,0.006735,0.012945,0.00655,19657730
6/13/2022 8:00,0.006735,0.00647,0.007565,0.00565,15718894
6/20/2022 8:00,0.00647,0.007785,0.00991,0.006025,14053974
6/27/2022 8:00,0.007785,0.00691,0.00897,0.00655,8361881.5
7/4/2022 8:00,0.00691,0.00673,0.00768,0.00664,6756861
7/11/2022 8:00,0.00673,0.00648,0.00713,0.005505,8559359
7/18/2022 8:00,0.00648,0.006135,0.007505,0.00605,4510507.5
7/25/2022 8:00,0.006135,0.00649,0.00662,0.00555,2071103.75
